Ventura County, California, Average Temperature
191305,53.1,
191306,59.2,
191307,66.8,
191308,67.6,
191309,65.8,
191310,56.6,
191311,51,
191312,44.2,
191401,45.6,
191402,47,
191403,51.3,
191404,51.3,
191405,53.7,
191406,60.2,
191407,64.5,
191408,65.1,
191409,62.5,
191410,58.6,
191411,55,
191412,44.1,
191501,45,
191502,45.3,
191503,50.8,
191504,50.4,
191505,54.4,
191506,62.4,
191507,67.1,
191508,69.5,
191509,62.6,
191510,57.6,
191511,50.7,
191512,45.6,
191601,42.2,
191602,48,
191603,50.1,
191604,51.5,
191605,53.6,
191606,59.2,
191607,65.2,
191608,65.3,
191609,61.6,
191610,52,
191611,48.2,
191612,42.1,
191701,41.4,
191702,43.6,
191703,44.2,
191704,49.1,
191705,51,
191706,64.8,
191707,72.3,
191708,68,
191709,66.6,
191710,61,
191711,53,
191712,50.3,
191801,44.3,
191802,43.4,
191803,48.3,
191804,51,
191805,51.6,
191806,65.8,
191807,66.2,
191808,68,
191809,65.7,
191810,61.7,
191811,50.6,
191812,44.1,
191901,47.7,
191902,42,
191903,44.8,
191904,51.1,
191905,56.4,
191906,63.4,
191907,68.8,
191908,67.8,
191909,63.2,
191910,55,
191911,50.4,
191912,46.6,
192001,46.3,
192002,45.4,
192003,44.6,
192004,48.5,
192005,55,
192006,60.6,
192007,67.9,
192008,69.1,
192009,62.5,
192010,53.3,
192011,50.1,
192012,45.6,
192101,45.3,
192102,45.4,
192103,49.8,
192104,48.3,
192105,51.2,
192106,62,
192107,70.1,
192108,68.5,
192109,63.7,
192110,59.4,
192111,53.5,
192112,48.8,
192201,41.4,
192202,43.4,
192203,44.4,
192204,48.4,
192205,56,
192206,63.1,
192207,68.7,
192208,69.7,
192209,67.9,
192210,57.1,
192211,48.1,
192212,47.8,
192301,46.7,
192302,44.4,
192303,49.1,
192304,48.8,
192305,56.5,
192306,57.2,
192307,66.8,
192308,66.5,
192309,65.3,
192310,57.1,
192311,54.7,
192312,46,
192401,45.3,
192402,51.5,
192403,45.8,
192404,50.5,
192405,58.8,
192406,63.3,
192407,66,
192408,66,
192409,65.1,
192410,54,
192411,51.9,
192412,44,
192501,45.9,
192502,47.8,
192503,48.7,
192504,50.4,
192505,56.1,
192506,63.2,
192507,69.9,
192508,66.2,
192509,61.6,
192510,55.8,
192511,51.5,
192512,49.6,
192601,46.5,
192602,48.8,
192603,52.6,
192604,54.7,
192605,58.7,
192606,64.5,
192607,68.4,
192608,69.5,
192609,62.1,
192610,59,
192611,55.4,
192612,44.9,
192701,46.4,
192702,46.4,
192703,47.2,
192704,50.2,
192705,56,
192706,60.8,
192707,69.8,
192708,67,
192709,61.9,
192710,59.1,
192711,53.4,
192712,45,
192801,47.5,
192802,47.4,
192803,51.2,
192804,52.2,
192805,59.1,
192806,61.7,
192807,66.9,
192808,67.9,
192809,66,
192810,55.6,
192811,50.9,
192812,45.2,
192901,43.2,
192902,42.3,
192903,46.4,
192904,47.3,
192905,57.8,
192906,62.7,
192907,69.6,
192908,72.8,
192909,65.3,
192910,61.2,
192911,53.7,
192912,51.1,
193001,45,
193002,49.2,
193003,49.6,
193004,52.8,
193005,53,
193006,62.9,
193007,69.6,
193008,69.9,
193009,61.8,
193010,58.3,
193011,53.6,
193012,46.3,
193101,46.7,
193102,47.9,
193103,52.4,
193104,55.5,
193105,61,
193106,63.5,
193107,74.9,
193108,72.8,
193109,64.5,
193110,58.8,
193111,48.5,
193112,43.4,
193201,41.3,
193202,44.8,
193203,50.3,
193204,50.8,
193205,56.2,
193206,61.8,
193207,66.5,
193208,67.2,
193209,65.2,
193210,57.6,
193211,56.2,
193212,42,
193301,41.9,
193302,43.1,
193303,48.3,
193304,49.2,
193305,52.4,
193306,59.9,
193307,68.8,
193308,68.1,
193309,60.9,
193310,60.6,
193311,55.1,
193312,45.9,
193401,48,
193402,48.6,
193403,54.9,
193404,55.8,
193405,60,
193406,59,
193407,69.4,
193408,68.9,
193409,66.2,
193410,58.2,
193411,51.2,
193412,47.8,
193501,45,
193502,46.8,
193503,43,
193504,49.8,
193505,54.7,
193506,62,
193507,66.8,
193508,69.9,
193509,65.8,
193510,57.8,
193511,49.2,
193512,47.6,
193601,47.8,
193602,45.5,
193603,49.5,
193604,52,
193605,57.8,
193606,64.4,
193607,71.3,
193608,70.1,
193609,65.8,
193610,59.2,
193611,55.2,
193612,46.3,
193701,35.8,
193702,43.5,
193703,47.5,
193704,49.8,
193705,56.5,
193706,63,
193707,69.3,
193708,68.9,
193709,66.3,
193710,59,
193711,51.3,
193712,49.5,
193801,48.5,
193802,45.2,
193803,45.7,
193804,50.2,
193805,56.7,
193806,61.8,
193807,68.2,
193808,70.4,
193809,68.4,
193810,57.9,
193811,51.7,
193812,49.7,
193901,45.8,
193902,41.8,
193903,46.8,
193904,54.3,
193905,56.8,
193906,62,
193907,68.2,
193908,69.9,
193909,69.8,
193910,60.9,
193911,54.8,
193912,50.5,
194001,48,
194002,47.3,
194003,51.4,
194004,53.9,
194005,59.7,
194006,63.5,
194007,66.8,
194008,67.4,
194009,63.6,
194010,60,
194011,51.6,
194012,49.3,
194101,46.9,
194102,48.3,
194103,50.1,
194104,49.6,
194105,60.1,
194106,61.2,
194107,68.1,
194108,67,
194109,62.6,
194110,56.9,
194111,53.6,
194112,46.2,
194201,46.8,
194202,43.9,
194203,47.6,
194204,50.1,
194205,55.4,
194206,61.4,
194207,70,
194208,68.4,
194209,62.8,
194210,59.2,
194211,52.3,
194212,46.5,
194301,45.9,
194302,47.9,
194303,48.8,
194304,52.4,
194305,58.4,
194306,60.3,
194307,67.3,
194308,66.9,
194309,65.7,
194310,58.4,
194311,53,
194312,46.4,
194401,45.7,
194402,42.7,
194403,48.6,
194404,48.6,
194405,55.6,
194406,58.8,
194407,64.3,
194408,67.8,
194409,65,
194410,57.9,
194411,48.8,
194412,48,
194501,45,
194502,45.8,
194503,44.5,
194504,50.8,
194505,55.6,
194506,61.1,
194507,69.6,
194508,69.8,
194509,67.3,
194510,59,
194511,50.8,
194512,45.8,
194601,44.9,
194602,43.3,
194603,47.1,
194604,52.4,
194605,54.9,
194606,62.4,
194607,69,
194608,68.9,
194609,66.4,
194610,55.5,
194611,48.7,
194612,45.9,
194701,42.6,
194702,47.2,
194703,49.6,
194704,53,
194705,58.1,
194706,62.3,
194707,67.5,
194708,66.8,
194709,66.7,
194710,58,
194711,48,
194712,45.4,
194801,48.3,
194802,43.4,
194803,44.2,
194804,50.7,
194805,55.1,
194806,61.1,
194807,66.2,
194808,66.7,
194809,65.4,
194810,57.8,
194811,51.6,
194812,42.6,
194901,36.8,
194902,41.7,
194903,45.3,
194904,53.7,
194905,56.4,
194906,63.5,
194907,66.6,
194908,67,
194909,66.3,
194910,56.4,
194911,57.6,
194912,44.8,
195001,40.8,
195002,46.7,
195003,48.3,
195004,53.3,
195005,55.4,
195006,60.6,
195007,69.2,
195008,67.2,
195009,63.1,
195010,60.2,
195011,55.5,
195012,51.7,
195101,45.3,
195102,45.2,
195103,48.6,
195104,51.3,
195105,56.3,
195106,61.2,
195107,68.9,
195108,67.5,
195109,66.8,
195110,58.8,
195111,51.7,
195112,43.8,
195201,42.3,
195202,46.4,
195203,43.5,
195204,51.5,
195205,58.4,
195206,58.4,
195207,68,
195208,68.8,
195209,67,
195210,60,
195211,49,
195212,45.2,
195301,50.4,
195302,47.4,
195303,47.6,
195304,49.2,
195305,53.8,
195306,59.4,
195307,70.7,
195308,66.5,
195309,65.4,
195310,58.7,
195311,53.7,
195312,48.2,
195401,45.1,
195402,52.4,
195403,46.1,
195404,53.5,
195405,57.7,
195406,61.4,
195407,71.7,
195408,67.2,
195409,64.6,
195410,57.2,
195411,54.6,
195412,47,
195501,42.2,
195502,44.5,
195503,49.2,
195504,49.6,
195505,55.4,
195506,60.7,
195507,65.9,
195508,70.8,
195509,66.9,
195510,58.1,
195511,51.1,
195512,46.6,
195601,46.2,
195602,41.8,
195603,49.2,
195604,50.1,
195605,56.6,
195606,62.9,
195607,67.7,
195608,66.7,
195609,68.4,
195610,56.3,
195611,55.7,
195612,49.8,
195701,42.6,
195702,50.1,
195703,49.8,
195704,51.1,
195705,55.6,
195706,66.4,
195707,70.5,
195708,69.3,
195709,65.1,
195710,57,
195711,50.2,
195712,50.2,
195801,48.5,
195802,49.2,
195803,45.5,
195804,53.3,
195805,59.3,
195806,62.4,
195807,67.6,
195808,71.9,
195809,68.8,
195810,63.7,
195811,53.2,
195812,52.6,
195901,49.3,
195902,45,
195903,53.4,
195904,56.2,
195905,56.2,
195906,65.1,
195907,72.8,
195908,70.1,
195909,65.5,
195910,61.5,
195911,56.4,
195912,49.8,
196001,43.2,
196002,45.6,
196003,51.6,
196004,54.1,
196005,58.6,
196006,65.9,
196007,71.7,
196008,68.6,
196009,68.2,
196010,58.1,
196011,49.9,
196012,47.4,
196101,50.5,
196102,49.4,
196103,48.8,
196104,53.9,
196105,54.7,
196106,64.4,
196107,71,
196108,71.2,
196109,64,
196110,58.6,
196111,49.7,
196112,45.8,
196201,46.7,
196202,44.5,
196203,45.2,
196204,55.3,
196205,54.6,
196206,61.7,
196207,67.5,
196208,69.7,
196209,65.6,
196210,58.8,
196211,52.5,
196212,48.8,
196301,45.3,
196302,52.9,
196303,46.8,
196304,48.4,
196305,56.1,
196306,60.1,
196307,67.1,
196308,68.5,
196309,69.8,
196310,60,
196311,52,
196312,48.6,
196401,45,
196402,46.3,
196403,46.6,
196404,50.5,
196405,53.9,
196406,60.3,
196407,68.4,
196408,69,
196409,64.5,
196410,62.7,
196411,49,
196412,47,
196501,48,
196502,46.5,
196503,47.3,
196504,50.8,
196505,55.5,
196506,58.2,
196507,66.4,
196508,70.3,
196509,62.3,
196510,63,
196511,51.9,
196512,44.8,
196601,44.6,
196602,43.8,
196603,50,
196604,55,
196605,57.5,
196606,63.4,
196607,67.3,
196608,70.9,
196609,65.8,
196610,60.6,
196611,52.6,
196612,47.3,
196701,47.2,
196702,49,
196703,47.8,
196704,43.9,
196705,57.3,
196706,59.8,
196707,70.5,
196708,73.4,
196709,67.8,
196710,61.6,
196711,55.7,
196712,44.2,
196801,46.1,
196802,51.2,
196803,50.2,
196804,52.5,
196805,56.7,
196806,62.6,
196807,69.5,
196808,66.8,
196809,66,
196810,59.1,
196811,52.4,
196812,44,
196901,47.5,
196902,43.3,
196903,47.7,
196904,51.9,
196905,57.9,
196906,60.6,
196907,69.3,
196908,71.7,
196909,66.6,
196910,56.7,
196911,55.1,
196912,47.7,
197001,47.1,
197002,49.2,
197003,49.9,
197004,49.6,
197005,58.4,
197006,63.2,
197007,69.8,
197008,69.6,
197009,65.1,
197010,58.3,
197011,52.4,
197012,44.5,
197101,46.4,
197102,46.5,
197103,47.9,
197104,49.6,
197105,53.8,
197106,61.1,
197107,69.1,
197108,72.5,
197109,67,
197110,57,
197111,50,
197112,41.7,
197201,44.5,
197202,48.7,
197203,53.3,
197204,52.1,
197205,58.1,
197206,64.5,
197207,70.4,
197208,70.1,
197209,65,
197210,57.2,
197211,50,
197212,44.6,
197301,43.9,
197302,47.5,
197303,44.8,
197304,51.5,
197305,58.3,
197306,65.8,
197307,67.9,
197308,68.7,
197309,63.6,
197310,59.2,
197311,48.9,
197312,48,
197401,44.4,
197402,46.6,
197403,48.3,
197404,52,
197405,56.9,
197406,64.3,
197407,69.6,
197408,68.5,
197409,67.6,
197410,58.4,
197411,52.4,
197412,45.9,
197501,47.2,
197502,45,
197503,45.8,
197504,45.9,
197505,56,
197506,61,
197507,67.7,
197508,67.6,
197509,67.4,
197510,57,
197511,51,
197512,47.7,
197601,49.3,
197602,47.5,
197603,48.3,
197604,49,
197605,58.3,
197606,64.7,
197607,68.8,
197608,66.5,
197609,66.1,
197610,61.4,
197611,56.7,
197612,49.3,
197701,46.7,
197702,51.4,
197703,45.8,
197704,53.4,
197705,53.1,
197706,63.5,
197707,68.9,
197708,70.2,
197709,64.8,
197710,60.6,
197711,55.9,
197712,51.4,
197801,48.2,
197802,47.8,
197803,52.1,
197804,50,
197805,59.5,
197806,64.4,
197807,68.4,
197808,68.8,
197809,67.1,
197810,62.5,
197811,49.2,
197812,43.5,
197901,43.8,
197902,44.2,
197903,48.4,
197904,51.9,
197905,58.3,
197906,65,
197907,68.2,
197908,67.9,
197909,69.2,
197910,58.2,
197911,51.6,
197912,50.1,
198001,49.8,
198002,51,
198003,47.9,
198004,52.8,
198005,54,
198006,61.3,
198007,69.6,
198008,68.7,
198009,64.3,
198010,60.5,
198011,53.4,
198012,51.2,
198101,50,
198102,50.4,
198103,48.4,
198104,53.6,
198105,58.2,
198106,69,
198107,70.2,
198108,70.9,
198109,66.3,
198110,56.5,
198111,53.8,
198112,49.5,
198201,44.8,
198202,49.1,
198203,47.2,
198204,51.4,
198205,57.4,
198206,59.9,
198207,68,
198208,70.2,
198209,67,
198210,60.3,
198211,50.8,
198212,46.4,
198301,48.8,
198302,48.5,
198303,49.8,
198304,49.4,
198305,57.9,
198306,62.9,
198307,68.6,
198308,71.7,
198309,70,
198310,62.3,
198311,51.5,
198312,47.8,
198401,50.1,
198402,48.6,
198403,52.1,
198404,52.7,
198405,62.1,
198406,63.8,
198407,72.6,
198408,72.6,
198409,72.9,
198410,58.2,
198411,50,
198412,44.4,
198501,45.6,
198502,47.3,
198503,47.1,
198504,55.5,
198505,56.5,
198506,65.3,
198507,71.4,
198508,69.1,
198509,63.2,
198510,59,
198511,49.7,
198512,49.4,
198601,52.9,
198602,49.8,
198603,52.6,
198604,53.2,
198605,58,
198606,64.5,
198607,67.8,
198608,70.3,
198609,61.6,
198610,59.3,
198611,55.7,
198612,48.9,
198701,45.6,
198702,48.2,
198703,48.7,
198704,56.7,
198705,59.9,
198706,64.2,
198707,64.6,
198708,68,
198709,67.2,
198710,62.9,
198711,52.7,
198712,44,
198801,47.3,
198802,51.2,
198803,53.3,
198804,53.8,
198805,58.4,
198806,62.6,
198807,70.7,
198808,68.7,
198809,65.7,
198810,61.4,
198811,52.1,
198812,47.1,
198901,46,
198902,44.9,
198903,52,
198904,57.5,
198905,57.3,
198906,63.3,
198907,70.2,
198908,67.4,
198909,66,
198910,59,
198911,55.9,
198912,49.9,
199001,47.5,
199002,45.7,
199003,50.6,
199004,55.9,
199005,57.3,
199006,65.2,
199007,71.3,
199008,69.7,
199009,66.8,
199010,62.1,
199011,53.6,
199012,45,
199101,47.9,
199102,51.9,
199103,45.8,
199104,52.7,
199105,55.4,
199106,60.7,
199107,68,
199108,68.6,
199109,67.8,
199110,63.5,
199111,55.6,
199112,48.9,
199201,49.2,
199202,51.1,
199203,50.4,
199204,57.8,
199205,62.3,
199206,63.5,
199207,69.8,
199208,72.6,
199209,68.4,
199210,61.7,
199211,54.2,
199212,45.3,
199301,46.8,
199302,47.1,
199303,53.3,
199304,55.4,
199305,60,
199306,65.3,
199307,67.7,
199308,69.4,
199309,66.6,
199310,61,
199311,53.1,
199312,48.1,
199401,49.7,
199402,46.6,
199403,53,
199404,53.6,
199405,56.7,
199406,66.5,
199407,69,
199408,73,
199409,67,
199410,58.8,
199411,47.5,
199412,47,
199501,48,
199502,53.2,
199503,50.8,
199504,52.6,
199505,55,
199506,61.9,
199507,69.3,
199508,70.8,
199509,68.8,
199510,61.9,
199511,57.1,
199512,50.4,
199601,49.5,
199602,50.6,
199603,51.4,
199604,56.6,
199605,59.9,
199606,65.1,
199607,71.1,
199608,71.9,
199609,66.4,
199610,58.8,
199611,54.3,
199612,49.6,
199701,48.6,
199702,48.5,
199703,54,
199704,55.3,
199705,64.6,
199706,64.3,
199707,68.3,
199708,71.2,
199709,70.9,
199710,60.5,
199711,54.6,
199712,47.1,
199801,48.5,
199802,45.6,
199803,50,
199804,50,
199805,53.3,
199806,60.5,
199807,70.4,
199808,74.2,
199809,65.5,
199810,58.2,
199811,51.6,
199812,47.5,
199901,49.6,
199902,48.1,
199903,47,
199904,49.8,
199905,56.4,
199906,62,
199907,68.8,
199908,67.9,
199909,66.5,
199910,63.4,
199911,54.4,
199912,50.3,
200001,49.9,
200002,48.2,
200003,50,
200004,55.3,
200005,61.1,
200006,66.6,
200007,68.2,
200008,71.3,
200009,67,
200010,57.8,
200011,49.6,
200012,50.9,
200101,45.8,
200102,45.1,
200103,52,
200104,50.6,
200105,62.9,
200106,66.4,
200107,68.2,
200108,70.5,
200109,67.8,
200110,61.8,
200111,53.7,
200112,47,
200201,46.6,
200202,50,
200203,48.5,
200204,53.4,
200205,57.5,
200206,65.1,
200207,70.6,
200208,69.2,
200209,68.3,
200210,57.3,
200211,56.1,
200212,47.6,
200301,55.3,
200302,47.9,
200303,52.2,
200304,49.9,
200305,58.2,
200306,63.8,
200307,73.7,
200308,72.4,
200309,69.8,
200310,64.4,
200311,50.1,
200312,47.6,
200401,47.6,
200402,45.9,
200403,56.7,
200404,55.4,
200405,60.7,
200406,64.4,
200407,69.8,
200408,69.6,
200409,68.2,
200410,58.2,
200411,50.1,
200412,48.9,
200501,49.1,
200502,49.3,
200503,51.4,
200504,52.8,
200505,60,
200506,61.9,
200507,72.2,
200508,71.1,
200509,64.4,
200510,59.5,
200511,55.9,
200512,50.5,
200601,48.6,
200602,49.9,
200603,44.7,
200604,51.1,
200605,60.2,
200606,68.2,
200607,75.2,
200608,69.3,
200609,67.2,
200610,58.5,
200611,55.6,
200612,48.7,
200701,45.6,
200702,48.8,
200703,54,
200704,54.3,
200705,58.9,
200706,64.8,
200707,71.4,
200708,72,
200709,65.3,
200710,60.2,
200711,55.1,
200712,45.8,
200801,46.2,
200802,48.1,
200803,51.8,
200804,54.2,
200805,57.8,
200806,67,
200807,71.3,
200808,72.2,
200809,69.2,
200810,62.6,
200811,56.8,
200812,46.4,
200901,51.8,
200902,46.4,
200903,49.2,
200904,52.4,
200905,62.5,
200906,61.8,
200907,71.5,
200908,70.1,
200909,70.6,
200910,59,
200911,53.5,
200912,46.6,
201001,49.2,
201002,47.7,
201003,50.3,
201004,50.2,
201005,55.8,
201006,63.7,
201007,68.5,
201008,68.3,
201009,67.2,
201010,59.8,
201011,51.6,
201012,49.6,
201101,50,
201102,45,
201103,49.7,
201104,53.3,
201105,56.2,
201106,61.7,
201107,70.1,
201108,70.6,
201109,68.1,
201110,61,
201111,51.4,
201112,46.6,
201201,51.2,
201202,48.2,
201203,48.7,
201204,54.2,
201205,60.6,
201206,64.4,
201207,69,
201208,75,
201209,71.6,
201210,62.6,
201211,54.6,
201212,46.9,
201301,47.2,
201302,47.7,
201303,53.9,
201304,56.7,
201305,62.2,
201306,67.4,
201307,71.9,
201308,70.7,
201309,69,
201310,59.6,
201311,55.3,
201312,50.6,
201401,55.1,
201402,51.8,
201403,54.5,
201404,56.6,
201405,62.2,
201406,66.3,
201407,72.6,
201408,70.6,
201409,70.9,
201410,64.4,
201411,56.9,
201412,50.3,
201501,52.7,
201502,54.2,
201503,57.6,
201504,55.5,
201505,57,
201506,67.6,
201507,70.2,
201508,73.3,
201509,72.3,
201510,67.4,
201511,52.9,
201512,47.6,
201601,48.7,
201602,55.2,
201603,52.7,
201604,56.2,
201605,57.6,
201606,68.2,
201607,71.7,
201608,71.6,
201609,67.7,
201610,61.2,
201611,56.4,
201612,48.6,
201701,46.7,
201702,49,
201703,54.2,
201704,56.8,
201705,59.6,
201706,67.7,
201707,73.8,
201708,73.6,
201709,67.8,
201710,64.2,
201711,57.5,
201712,52.8,
201801,54.2,
201802,49.6,
201803,49.4,
201804,55.4,
201805,57.1,
201806,64.8,
201807,75.8,
201808,73.6,
201809,68.3,
201810,62,
201811,56.4,
201812,49.1,
201901,49.7,
