Warren County, Virginia, Average Temperature
191306,69.1,
191307,73.2,
191308,70.8,
191309,63.9,
191310,55.7,
191311,44.3,
191312,36.7,
191401,34.1,
191402,25.8,
191403,36.7,
191404,50.8,
191405,63.5,
191406,71.6,
191407,72.5,
191408,72.5,
191409,62.4,
191410,56.6,
191411,42.1,
191412,28,
191501,30.9,
191502,35.1,
191503,35.2,
191504,56.7,
191505,59.6,
191506,66.9,
191507,72.3,
191508,69.5,
191509,66.8,
191510,56.1,
191511,43.2,
191512,31.9,
191601,36.3,
191602,31.4,
191603,35.9,
191604,50.1,
191605,63.7,
191606,65.4,
191607,73.3,
191608,72,
191609,64.5,
191610,53.9,
191611,44.6,
191612,31.9,
191701,32.1,
191702,31.6,
191703,40.2,
191704,51.3,
191705,55.9,
191706,68.6,
191707,72.3,
191708,70.9,
191709,59.3,
191710,47.8,
191711,38.8,
191712,22.9,
191801,18.4,
191802,33.5,
191803,45.2,
191804,48.7,
191805,67.6,
191806,66.9,
191807,70.8,
191808,74.4,
191809,60.7,
191810,57.2,
191811,41.8,
191812,37.3,
191901,34.1,
191902,33.4,
191903,43.5,
191904,50.6,
191905,60.3,
191906,71.1,
191907,73.9,
191908,70,
191909,65.4,
191910,60.3,
191911,42.3,
191912,28.4,
192001,26.1,
192002,29.2,
192003,41.8,
192004,47.9,
192005,57.4,
192006,67.5,
192007,70.3,
192008,70.2,
192009,64.7,
192010,57.4,
192011,40.9,
192012,34.7,
192101,32.7,
192102,36,
192103,51.9,
192104,56.5,
192105,59,
192106,70.1,
192107,74.9,
192108,68.6,
192109,69.9,
192110,53.6,
192111,44.6,
192112,34,
192201,27.1,
192202,35.6,
192203,42.5,
192204,52.3,
192205,63.1,
192206,70.9,
192207,72.3,
192208,67.9,
192209,65.1,
192210,55.9,
192211,44.4,
192212,34.8,
192301,32.2,
192302,29.7,
192303,42.1,
192304,50.1,
192305,59.6,
192306,70.9,
192307,71.6,
192308,69.3,
192309,65.3,
192310,51.9,
192311,40.6,
192312,41.1,
192401,30.3,
192402,28.9,
192403,38.5,
192404,48.4,
192405,56.3,
192406,67.4,
192407,69.9,
192408,70.6,
192409,59.8,
192410,54,
192411,42.6,
192412,32.5,
192501,27.6,
192502,39.1,
192503,43.1,
192504,52.8,
192505,56.9,
192506,72.8,
192507,72.1,
192508,69.5,
192509,69.9,
192510,48.5,
192511,41.1,
192512,32.9,
192601,29.7,
192602,33.2,
192603,37.4,
192604,48.3,
192605,62.2,
192606,65.7,
192607,72.7,
192608,72.3,
192609,65.7,
192610,52.7,
192611,39.8,
192612,29.6,
192701,30.3,
192702,38.5,
192703,44,
192704,47.7,
192705,61,
192706,64.6,
192707,72.2,
192708,65.9,
192709,66.7,
192710,56.9,
192711,47.1,
192712,33.8,
192801,32.4,
192802,33.5,
192803,40.6,
192804,47.9,
192805,59.6,
192806,65.9,
192807,73.5,
192808,72,
192809,61,
192810,55.4,
192811,43.9,
192812,34.5,
192901,29.4,
192902,30.5,
192903,46.2,
192904,54.8,
192905,59,
192906,67.5,
192907,71.4,
192908,69.7,
192909,66.2,
192910,51.4,
192911,43.5,
192912,34.9,
193001,32,
193002,38.7,
193003,40.6,
193004,49.9,
193005,63,
193006,69.8,
193007,75.9,
193008,72.8,
193009,71.5,
193010,51.6,
193011,41.3,
193012,30.1,
193101,33.1,
193102,35.6,
193103,37.2,
193104,50.2,
193105,61.6,
193106,70.3,
193107,76.6,
193108,71.7,
193109,70.5,
193110,57.4,
193111,49.9,
193112,40.8,
193201,41.5,
193202,39.9,
193203,36.7,
193204,49.2,
193205,60.5,
193206,69.6,
193207,73.7,
193208,72.7,
193209,66.6,
193210,53.4,
193211,39.8,
193212,36.1,
193301,38.6,
193302,34.5,
193303,39,
193304,51.8,
193305,63.4,
193306,70.6,
193307,72.1,
193308,71.1,
193309,68.5,
193310,52.3,
193311,40.6,
193312,36,
193401,34.6,
193402,22,
193403,37.7,
193404,51.1,
193405,62.6,
193406,73.5,
193407,76.6,
193408,69.8,
193409,66.1,
193410,53.3,
193411,45.5,
193412,32.7,
193501,29.2,
193502,31.5,
193503,45.9,
193504,47.8,
193505,58,
193506,68.3,
193507,75.4,
193508,72.1,
193509,63.4,
193510,54.4,
193511,45.6,
193512,27.3,
193601,24.5,
193602,25,
193603,45.7,
193604,48.4,
193605,64,
193606,68.9,
193607,74.6,
193608,74.2,
193609,67.6,
193610,55.6,
193611,40.3,
193612,33.6,
193701,38.9,
193702,32.3,
193703,38,
193704,49.1,
193705,61.7,
193706,71.1,
193707,72.4,
193708,73.8,
193709,61.4,
193710,51,
193711,41.6,
193712,32.3,
193801,30.6,
193802,38.4,
193803,45.8,
193804,53.4,
193805,60.4,
193806,67.7,
193807,74.1,
193808,74,
193809,63.7,
193810,54.6,
193811,43.8,
193812,32.7,
193901,33,
193902,37.2,
193903,43.3,
193904,48.8,
193905,63.1,
193906,71.5,
193907,71.4,
193908,73.5,
193909,66.7,
193910,54.8,
193911,40.6,
193912,36,
194001,19.1,
194002,32.7,
194003,37.6,
194004,47.1,
194005,60.9,
194006,70,
194007,72.2,
194008,68.5,
194009,61.7,
194010,52,
194011,42.8,
194012,37.9,
194101,28.9,
194102,29.6,
194103,35.4,
194104,55.7,
194105,62.9,
194106,68.9,
194107,73.4,
194108,70.7,
194109,67.5,
194110,60.2,
194111,45.4,
194112,37.2,
194201,29.6,
194202,30.1,
194203,42.6,
194204,54.6,
194205,64.2,
194206,70,
194207,73.9,
194208,70,
194209,64.7,
194210,55.2,
194211,44.2,
194212,29.6,
194301,32.2,
194302,34,
194303,40.3,
194304,47.8,
194305,63.8,
194306,74.3,
194307,72.6,
194308,73.8,
194309,62.7,
194310,51.8,
194311,41.5,
194312,32.7,
194401,32,
194402,34.6,
194403,38.9,
194404,49.4,
194405,67.7,
194406,71.6,
194407,74.2,
194408,72,
194409,65.2,
194410,52.5,
194411,42.3,
194412,28.7,
194501,26,
194502,34.2,
194503,52.4,
194504,54.4,
194505,59,
194506,68.9,
194507,72,
194508,70.2,
194509,67.9,
194510,52.7,
194511,43.9,
194512,27.9,
194601,32.6,
194602,34.4,
194603,48.9,
194604,51.4,
194605,60.7,
194606,67.7,
194607,71.1,
194608,67.4,
194609,65,
194610,55.9,
194611,47,
194612,38.2,
194701,37.2,
194702,26.8,
194703,34.2,
194704,54.2,
194705,60.9,
194706,67.3,
194707,70.6,
194708,74.3,
194709,65.6,
194710,59.2,
194711,40.6,
194712,32.4,
194801,24.2,
194802,33,
194803,45.1,
194804,53.8,
194805,60.7,
194806,69.3,
194807,72.2,
194808,69.7,
194809,63.5,
194810,50.5,
194811,47,
194812,35.5,
194901,38.8,
194902,40.1,
194903,42.2,
194904,50.2,
194905,61.4,
194906,70.1,
194907,75.7,
194908,71.7,
194909,60.9,
194910,57.6,
194911,42.6,
194912,36,
195001,42.8,
195002,34.5,
195003,37.8,
195004,48.1,
195005,61.1,
195006,68.5,
195007,70.2,
195008,70.4,
195009,61.8,
195010,54.8,
195011,41.4,
195012,29.3,
195101,33.6,
195102,34.6,
195103,41.2,
195104,51.4,
195105,60.8,
195106,68.9,
195107,73.4,
195108,70.7,
195109,65.4,
195110,57,
195111,37.7,
195112,34.8,
195201,35.9,
195202,36.3,
195203,39.7,
195204,52,
195205,60.1,
195206,72.4,
195207,75.5,
195208,71.2,
195209,63.6,
195210,51,
195211,44,
195212,33.8,
195301,36.1,
195302,38.1,
195303,42.7,
195304,50.5,
195305,65.1,
195306,70,
195307,74.7,
195308,72.2,
195309,64.9,
195310,55.9,
195311,42.8,
195312,36,
195401,30.9,
195402,38.3,
195403,41.4,
195404,55.7,
195405,57.5,
195406,69.8,
195407,72.7,
195408,70.8,
195409,67.6,
195410,56.4,
195411,39.9,
195412,32.4,
195501,29.6,
195502,33.9,
195503,43.9,
195504,54.8,
195505,63,
195506,64.7,
195507,76.6,
195508,73.8,
195509,64.5,
195510,54.5,
195511,40.7,
195512,29.6,
195601,30,
195602,37.1,
195603,39.6,
195604,49.6,
195605,60.3,
195606,68.6,
195607,71.8,
195608,70.4,
195609,62,
195610,55.1,
195611,42.7,
195612,41.5,
195701,29,
195702,37.4,
195703,41.2,
195704,54.7,
195705,62.8,
195706,70.7,
195707,72.1,
195708,70.2,
195709,66.4,
195710,50.1,
195711,43.9,
195712,36.6,
195801,28.6,
195802,26.9,
195803,36.6,
195804,52,
195805,60.3,
195806,66,
195807,73.6,
195808,70,
195809,64.3,
195810,53.5,
195811,45.5,
195812,28,
195901,29.4,
195902,34.9,
195903,40.7,
195904,54.2,
195905,64.4,
195906,69.5,
195907,73,
195908,74.8,
195909,67.2,
195910,56.7,
195911,41.3,
195912,36.7,
196001,33.5,
196002,32.4,
196003,30,
196004,55.8,
196005,58.6,
196006,68.3,
196007,70.6,
196008,73,
196009,65.2,
196010,53.8,
196011,44.2,
196012,26.3,
196101,25.4,
196102,35,
196103,43.9,
196104,47.1,
196105,57.3,
196106,67.9,
196107,72.5,
196108,71.9,
196109,69.2,
196110,55.5,
196111,45.4,
196112,32.1,
196201,30.5,
196202,32.2,
196203,38.7,
196204,51.2,
196205,64.6,
196206,68.4,
196207,69.2,
196208,70.2,
196209,62,
196210,55.6,
196211,39.8,
196212,27.7,
196301,27.3,
196302,26.2,
196303,44.4,
196304,53,
196305,60.2,
196306,68,
196307,71.6,
196308,70.2,
196309,61.7,
196310,57.2,
196311,45.6,
196312,25.9,
196401,30.7,
196402,30.2,
196403,42.3,
196404,50.4,
196405,62.7,
196406,70.2,
196407,73.1,
196408,69.8,
196409,64,
196410,49.6,
196411,45.7,
196412,35.3,
196501,29.1,
196502,33.3,
196503,38.1,
196504,50.4,
196505,65.6,
196506,66.6,
196507,72,
196508,71.3,
196509,67,
196510,51.6,
196511,44.2,
196512,37.3,
196601,26.5,
196602,31.3,
196603,43.1,
196604,47.4,
196605,60,
196606,69.2,
196607,74.8,
196608,72.3,
196609,62.2,
196610,51,
196611,43.7,
196612,32.1,
196701,35.9,
196702,28.9,
196703,41.4,
196704,53.7,
196705,55.6,
196706,68.9,
196707,71.1,
196708,69.2,
196709,60.7,
196710,51.9,
196711,38.9,
196712,34.8,
196801,25.3,
196802,29.1,
196803,44.7,
196804,53.3,
196805,57.5,
196806,69,
196807,72.7,
196808,73.2,
196809,64.5,
196810,54.3,
196811,44.4,
196812,30.9,
196901,27.8,
196902,31.8,
196903,38,
196904,54.2,
196905,62.5,
196906,70.8,
196907,73.6,
196908,70.1,
196909,63.9,
196910,52.5,
196911,40.9,
196912,30,
197001,24.8,
197002,32.2,
197003,37.3,
197004,52,
197005,64.1,
197006,69.3,
197007,72.6,
197008,72,
197009,68.8,
197010,55.7,
197011,43.4,
197012,34.8,
197101,26,
197102,33.4,
197103,38.8,
197104,50.2,
197105,58.7,
197106,70.6,
197107,71.6,
197108,69.4,
197109,67.1,
197110,58.9,
197111,42.9,
197112,40.7,
197201,33.9,
197202,30.6,
197203,41,
197204,51,
197205,60.2,
197206,65.3,
197207,72.4,
197208,70.1,
197209,65.7,
197210,50.3,
197211,40.3,
197212,38.8,
197301,32.7,
197302,31.8,
197303,47.1,
197304,51,
197305,58.2,
197306,71.2,
197307,72.9,
197308,72.4,
197309,67,
197310,56.2,
197311,45.5,
197312,34.5,
197401,38.4,
197402,32.7,
197403,44,
197404,53.6,
197405,60.8,
197406,65.5,
197407,71.9,
197408,71.2,
197409,63.1,
197410,51.4,
197411,44.4,
197412,36,
197501,33.9,
197502,34.8,
197503,39,
197504,47.1,
197505,64,
197506,69.4,
197507,71.6,
197508,73.2,
197509,61.8,
197510,56.9,
197511,47.7,
197512,33.9,
197601,28.4,
197602,41.3,
197603,46.3,
197604,54.2,
197605,59.2,
197606,70.2,
197607,70.9,
197608,69.1,
197609,63.2,
197610,48.5,
197611,37.7,
197612,29.7,
197701,19.1,
197702,33.5,
197703,47.9,
197704,55.4,
197705,64.3,
197706,67.4,
197707,75.9,
197708,73.5,
197709,67.4,
197710,51.1,
197711,44.8,
197712,31.8,
197801,24,
197802,23.2,
197803,37.9,
197804,51.5,
197805,59.6,
197806,69.5,
197807,71.4,
197808,73.5,
197809,66.8,
197810,51.9,
197811,45.6,
197812,36.7,
197901,27.7,
197902,22.6,
197903,44.3,
197904,51,
197905,60.9,
197906,66.4,
197907,71.4,
197908,71.1,
197909,64.1,
197910,52.1,
197911,47.4,
197912,36.8,
198001,30.6,
198002,28.9,
198003,39,
198004,52.3,
198005,62.6,
198006,67.2,
198007,74.6,
198008,73.9,
198009,68.2,
198010,52.2,
198011,41,
198012,33.4,
198101,25.9,
198102,35.2,
198103,38.9,
198104,55.6,
198105,59.1,
198106,70.6,
198107,72.4,
198108,69.3,
198109,63.8,
198110,50.3,
198111,43.3,
198112,31.3,
198201,24.1,
198202,33.9,
198203,41.7,
198204,49.3,
198205,64.6,
198206,67.3,
198207,72.8,
198208,68.6,
198209,63.8,
198210,54.1,
198211,46.4,
198212,40.4,
198301,31.3,
198302,33.1,
198303,43,
198304,48.8,
198305,59.2,
198306,69.1,
198307,74,
198308,74.5,
198309,65.2,
198310,53.9,
198311,44.4,
198312,29.9,
198401,26.5,
198402,38.6,
198403,36.6,
198404,49.6,
198405,60.4,
198406,71.3,
198407,71.4,
198408,72.3,
198409,62.4,
198410,60.1,
198411,42.1,
198412,42.6,
198501,26.8,
198502,33.6,
198503,44.2,
198504,56.3,
198505,63,
198506,67.6,
198507,72.6,
198508,70.6,
198509,65.7,
198510,55.7,
198511,49.8,
198512,31.5,
198601,31.1,
198602,32,
198603,42.3,
198604,53.4,
198605,62.4,
198606,70.4,
198607,75.4,
198608,69.8,
198609,65.7,
198610,56.3,
198611,41.7,
198612,35,
198701,29.7,
198702,33,
198703,42.9,
198704,50.1,
198705,62.8,
198706,71.7,
198707,76.6,
198708,73.3,
198709,65.7,
198710,49.3,
198711,46,
198712,37.4,
198801,26.5,
198802,33.5,
198803,42.6,
198804,51.3,
198805,61.2,
198806,68.6,
198807,76,
198808,75.4,
198809,63.3,
198810,49,
198811,44.9,
198812,33.9,
198901,36.6,
198902,34.4,
198903,41.6,
198904,50,
198905,59,
198906,71.1,
198907,73.4,
198908,70.3,
198909,65.1,
198910,55.2,
198911,43,
198912,22.3,
199001,39.4,
199002,41.1,
199003,46.1,
199004,52.2,
199005,59.4,
199006,69.3,
199007,73.8,
199008,70.8,
199009,64.4,
199010,56.6,
199011,47.6,
199012,39.4,
199101,32.5,
199102,38.5,
199103,44.4,
199104,54,
199105,67.6,
199106,70.6,
199107,75.7,
199108,73.8,
199109,65.4,
199110,55.2,
199111,42.5,
199112,37.9,
199201,33.4,
199202,37,
199203,40.5,
199204,51.5,
199205,57.5,
199206,65.8,
199207,73.9,
199208,68.3,
199209,64,
199210,52.1,
199211,43.7,
199212,33.8,
199301,36,
199302,31.4,
199303,38.2,
199304,51.1,
199305,62.8,
199306,69.3,
199307,76,
199308,73.7,
199309,65.6,
199310,52.6,
199311,44.3,
199312,32.5,
199401,24.3,
199402,32.9,
199403,39.9,
199404,56.6,
199405,57.3,
199406,72.6,
199407,74.2,
199408,69.8,
199409,63.7,
199410,52.5,
199411,49.6,
199412,39.4,
199501,34.7,
199502,30.3,
199503,45.2,
199504,51.1,
199505,60.4,
199506,69.6,
199507,75.2,
199508,74.8,
199509,64,
199510,56.6,
199511,39.3,
199512,31.4,
199601,29.6,
199602,32.9,
199603,36.9,
199604,52.8,
199605,59.3,
199606,71,
199607,71.3,
199608,70.6,
199609,64.4,
199610,53.8,
199611,38.8,
199612,37.1,
199701,32.4,
199702,39.1,
199703,44.1,
199704,48.9,
199705,57.1,
199706,67.9,
199707,73.4,
199708,70.8,
199709,64.4,
199710,53.7,
199711,41.6,
199712,36.5,
199801,38.9,
199802,39.2,
199803,43.2,
199804,54.2,
199805,64.3,
199806,69.3,
199807,74.2,
199808,73.6,
199809,70.7,
199810,54.9,
199811,46,
199812,40.8,
199901,34.4,
199902,37.1,
199903,39.6,
199904,52.8,
199905,61.7,
199906,69.8,
199907,77.5,
199908,72.8,
199909,64.8,
199910,52.4,
199911,49.4,
199912,36.8,
200001,31.6,
200002,39.6,
200003,47,
200004,51.8,
200005,63.9,
200006,71.3,
200007,70.2,
200008,70.8,
200009,63.3,
200010,56.4,
200011,41.3,
200012,27,
200101,31.6,
200102,38,
200103,38.6,
200104,54.2,
200105,60.3,
200106,69.7,
200107,70.1,
200108,73.7,
200109,62.9,
200110,54.6,
200111,49.7,
200112,40.6,
200201,38.6,
200202,38.5,
200203,43.7,
200204,54.7,
200205,59.8,
200206,71,
200207,75.1,
200208,73.9,
200209,67.3,
200210,53.2,
200211,43.2,
200212,32.7,
200301,27.4,
200302,30.1,
200303,43.7,
200304,52.1,
200305,58.8,
200306,67.1,
200307,73.2,
200308,74.3,
200309,64.7,
200310,52.7,
200311,49.7,
200312,35,
200401,27.8,
200402,32.9,
200403,44.8,
200404,53.1,
200405,67.7,
200406,68.9,
200407,73.4,
200408,71.3,
200409,66.6,
200410,54.6,
200411,47.6,
200412,36.1,
200501,33.9,
200502,36.8,
200503,37.9,
200504,53.8,
200505,57.7,
200506,71.1,
200507,75.6,
200508,74.5,
200509,68.5,
200510,56,
200511,46.6,
200512,31.6,
200601,39.3,
200602,35,
200603,44.1,
200604,55.4,
200605,59.7,
200606,69.6,
200607,75.2,
200608,75,
200609,63.2,
200610,52.5,
200611,47.8,
200612,41.8,
200701,37.5,
200702,27.5,
200703,44.4,
200704,51.2,
200705,63.6,
200706,70.5,
200707,72.5,
200708,74.9,
200709,68,
200710,60.8,
200711,44,
200712,37.2,
200801,33.8,
200802,35.8,
200803,43.1,
200804,54.5,
200805,58.6,
200806,71.8,
200807,73.4,
200808,69.9,
200809,66.1,
200810,52.9,
200811,42.7,
200812,35.8,
200901,28.5,
200902,36,
200903,42.4,
200904,53.4,
200905,61.6,
200906,69.4,
200907,70,
200908,73.8,
200909,65,
200910,53,
200911,47.8,
200912,33,
201001,31,
201002,29.7,
201003,46.1,
201004,57,
201005,64.1,
201006,74.1,
201007,76.9,
201008,74.2,
201009,68.5,
201010,56.4,
201011,44.2,
201012,29,
201101,29.3,
201102,37.5,
201103,43,
201104,55.4,
201105,63.7,
201106,71.2,
201107,76.7,
201108,73.1,
201109,65.9,
201110,53.2,
201111,47.8,
201112,39.7,
201201,35.3,
201202,39.6,
201203,52.4,
201204,52.9,
201205,65.9,
201206,68.8,
201207,77,
201208,72.5,
201209,65.5,
201210,54.3,
201211,40.6,
201212,40,
201301,36.1,
201302,33.3,
201303,37.7,
201304,54.3,
201305,59.9,
201306,70.3,
201307,74.5,
201308,69.7,
201309,64,
201310,55.1,
201311,41.2,
201312,36.9,
201401,25.4,
201402,32.8,
201403,36,
201404,52.1,
201405,62.3,
201406,70.6,
201407,71.7,
201408,69.1,
201409,65.4,
201410,55.8,
201411,40.3,
201412,37.7,
201501,29.1,
201502,25.3,
201503,39.8,
201504,53.6,
201505,66.1,
201506,71.1,
201507,73.2,
201508,71.7,
201509,67.4,
201510,53.5,
201511,48.8,
201512,46.6,
201601,29.8,
201602,35.2,
201603,48.5,
201604,52.3,
201605,59.8,
201606,70.7,
201607,75.8,
201608,75.5,
201609,70,
201610,57.3,
201611,46.6,
201612,36.7,
201701,37.4,
201702,43.4,
201703,41.6,
201704,57.9,
201705,60,
201706,70,
201707,74.9,
201708,69.7,
201709,65.2,
201710,58.8,
201711,43.2,
201712,34.3,
201801,31.1,
201802,40.6,
201803,38.1,
201804,49.6,
201805,67.4,
201806,70,
201807,73.5,
201808,74,
201809,69.7,
201810,57.6,
201811,41.8,
201812,36.8,
201901,32.1,
