Humboldt County, California, Average Temperature
191307,65.3,
191308,68.1,
191309,63.5,
191310,56.3,
191311,47.9,
191312,42.1,
191401,43.8,
191402,44,
191403,51.2,
191404,50.9,
191405,57.7,
191406,58.7,
191407,65.9,
191408,68.2,
191409,59.8,
191410,55.3,
191411,47.6,
191412,39.2,
191501,41.3,
191502,43.6,
191503,49.4,
191504,52.5,
191505,51.6,
191506,59.2,
191507,64.4,
191508,67.3,
191509,60,
191510,54.7,
191511,44.5,
191512,42,
191601,36.7,
191602,46.8,
191603,47.5,
191604,51.3,
191605,50.3,
191606,58.1,
191607,61.8,
191608,64.6,
191609,61.6,
191610,51.8,
191611,43.5,
191612,38.4,
191701,37.6,
191702,40.9,
191703,40.7,
191704,47.6,
191705,50.5,
191706,58,
191707,66.8,
191708,66.4,
191709,62.4,
191710,57.2,
191711,48.8,
191712,46.1,
191801,45.1,
191802,42.7,
191803,46.2,
191804,51,
191805,52.6,
191806,64.6,
191807,62.7,
191808,64.7,
191809,63.3,
191810,56.7,
191811,46.4,
191812,40.4,
191901,42.4,
191902,40.9,
191903,45.4,
191904,51.8,
191905,55.2,
191906,57.8,
191907,65.8,
191908,66.1,
191909,60.7,
191910,51.4,
191911,45.2,
191912,39.8,
192001,44.6,
192002,43.8,
192003,43.4,
192004,47.2,
192005,53.1,
192006,59.1,
192007,62.8,
192008,67.6,
192009,61,
192010,51.6,
192011,46.2,
192012,41.6,
192101,41.4,
192102,45.2,
192103,48.5,
192104,48.8,
192105,52.2,
192106,59.8,
192107,65.5,
192108,64.6,
192109,61,
192110,57.4,
192111,48.9,
192112,42.3,
192201,39.4,
192202,40.1,
192203,42.3,
192204,47.5,
192205,53.6,
192206,62.1,
192207,68.3,
192208,64.2,
192209,63.9,
192210,53.9,
192211,43.8,
192212,41.3,
192301,41.5,
192302,43.7,
192303,47,
192304,49.6,
192305,53.5,
192306,56.4,
192307,64.2,
192308,65.3,
192309,63.3,
192310,53.8,
192311,49.2,
192312,39,
192401,40.3,
192402,46.8,
192403,44,
192404,52.4,
192405,58.3,
192406,60.9,
192407,65,
192408,65.3,
192409,60.6,
192410,51.3,
192411,46,
192412,38.3,
192501,44,
192502,43.4,
192503,46.9,
192504,49.8,
192505,54.3,
192506,59.5,
192507,67.1,
192508,62.9,
192509,59.3,
192510,52.5,
192511,45.3,
192512,42.9,
192601,41.4,
192602,45.3,
192603,51.4,
192604,53.9,
192605,55.1,
192606,63.7,
192607,65.9,
192608,65.2,
192609,59.7,
192610,56,
192611,50.4,
192612,40.7,
192701,44.3,
192702,43.4,
192703,44.1,
192704,47.5,
192705,50.9,
192706,59.1,
192707,64.2,
192708,63.8,
192709,60.8,
192710,54.2,
192711,47.6,
192712,39.2,
192801,43,
192802,44.2,
192803,48.5,
192804,47.4,
192805,57.7,
192806,59,
192807,64.5,
192808,65,
192809,62.5,
192810,53.9,
192811,45.5,
192812,39.8,
192901,38.1,
192902,40.2,
192903,45.6,
192904,45.2,
192905,53.2,
192906,58.6,
192907,63.8,
192908,64.8,
192909,60.9,
192910,55.6,
192911,43.7,
192912,45.8,
193001,38.2,
193002,45.6,
193003,47.8,
193004,50.8,
193005,51,
193006,58.9,
193007,64.9,
193008,65.3,
193009,61.2,
193010,53.7,
193011,46.2,
193012,40.8,
193101,42.1,
193102,45.1,
193103,47.6,
193104,51.1,
193105,57.9,
193106,59.3,
193107,66.4,
193108,64.4,
193109,60.6,
193110,53.9,
193111,42.6,
193112,39.7,
193201,38.1,
193202,41,
193203,47.4,
193204,47.4,
193205,53.3,
193206,60.6,
193207,63.2,
193208,64.5,
193209,64.6,
193210,53.8,
193211,49.2,
193212,37.3,
193301,37.5,
193302,38.7,
193303,44.8,
193304,48.4,
193305,49.4,
193306,58.6,
193307,66.2,
193308,65.9,
193309,60.1,
193310,57.2,
193311,47.8,
193312,43.5,
193401,46.2,
193402,48,
193403,53.4,
193404,54.3,
193405,57.6,
193406,59.7,
193407,64.4,
193408,66.4,
193409,62.2,
193410,55,
193411,49.4,
193412,43,
193501,40.7,
193502,45.2,
193503,42.6,
193504,50.1,
193505,54.5,
193506,61.2,
193507,63.5,
193508,65.4,
193509,63.6,
193510,53.4,
193511,45.1,
193512,42.9,
193601,44.4,
193602,44.4,
193603,46.2,
193604,51.9,
193605,57.3,
193606,60.8,
193607,65.5,
193608,66,
193609,62.6,
193610,56,
193611,45,
193612,41.8,
193701,33.6,
193702,40.4,
193703,46.6,
193704,47.7,
193705,55.1,
193706,61.6,
193707,67,
193708,65.2,
193709,63.4,
193710,57.3,
193711,49,
193712,45,
193801,43.2,
193802,42.8,
193803,43.8,
193804,50.5,
193805,55.4,
193806,62,
193807,66.9,
193808,64,
193809,63.6,
193810,54.8,
193811,43.6,
193812,42.8,
193901,41,
193902,40.2,
193903,47.4,
193904,53.5,
193905,55.8,
193906,59.1,
193907,65.9,
193908,66.1,
193909,64.1,
193910,55.7,
193911,46.8,
193912,45.5,
194001,44.8,
194002,46.2,
194003,48.3,
194004,51.5,
194005,57.2,
194006,62.3,
194007,65.2,
194008,66.8,
194009,63.5,
194010,57.2,
194011,46.1,
194012,44.1,
194101,43.9,
194102,47.9,
194103,49.7,
194104,49.8,
194105,56.5,
194106,59.5,
194107,67.6,
194108,65.2,
194109,61.7,
194110,54.2,
194111,49.8,
194112,43.8,
194201,43.4,
194202,42.6,
194203,44.9,
194204,49,
194205,52.4,
194206,59.4,
194207,67.6,
194208,66.2,
194209,62.2,
194210,56.4,
194211,47.5,
194212,44.2,
194301,40.9,
194302,46.3,
194303,48.2,
194304,50.8,
194305,54.1,
194306,57.6,
194307,65.1,
194308,64.3,
194309,66.1,
194310,55.1,
194311,48.7,
194312,42.9,
194401,42.9,
194402,42.4,
194403,45.4,
194404,48.6,
194405,54.3,
194406,58.4,
194407,64.5,
194408,65,
194409,63.4,
194410,57,
194411,47,
194412,44.7,
194501,43.6,
194502,44.6,
194503,43.7,
194504,48.4,
194505,54.6,
194506,59.7,
194507,66.5,
194508,65,
194509,62.8,
194510,56.4,
194511,46.5,
194512,43.8,
194601,41,
194602,42,
194603,44.8,
194604,50,
194605,54.8,
194606,59.1,
194607,66.6,
194608,65.2,
194609,62.2,
194610,52.5,
194611,45,
194612,43,
194701,38.9,
194702,46.7,
194703,48.5,
194704,51.9,
194705,57.2,
194706,60.4,
194707,65.8,
194708,65.6,
194709,64.2,
194710,55.9,
194711,45.5,
194712,42.8,
194801,42.4,
194802,41.1,
194803,44,
194804,45.9,
194805,52.6,
194806,60.8,
194807,64.4,
194808,64.5,
194809,61.3,
194810,54.6,
194811,44.2,
194812,37.6,
194901,34.1,
194902,40,
194903,45.2,
194904,52.2,
194905,55.4,
194906,59.8,
194907,64.4,
194908,65.5,
194909,63.8,
194910,52.1,
194911,50.1,
194912,40.2,
195001,36.2,
195002,43.3,
195003,44.8,
195004,48.8,
195005,52.6,
195006,58.7,
195007,65.6,
195008,66.8,
195009,62.6,
195010,57.3,
195011,50.3,
195012,47.4,
195101,41.1,
195102,44,
195103,43.6,
195104,50.3,
195105,55.2,
195106,60.3,
195107,64.7,
195108,65.3,
195109,63.6,
195110,55.7,
195111,47.7,
195112,40.7,
195201,38.8,
195202,42.9,
195203,42.3,
195204,50,
195205,54.9,
195206,57.8,
195207,67.1,
195208,65.2,
195209,64.8,
195210,58.1,
195211,44.6,
195212,42.2,
195301,45.8,
195302,43.9,
195303,44.6,
195304,48.2,
195305,52.4,
195306,57,
195307,65.2,
195308,65.6,
195309,66.1,
195310,55.3,
195311,49.7,
195312,42.7,
195401,41.5,
195402,45.5,
195403,44.7,
195404,51.3,
195405,55.4,
195406,57.9,
195407,64.7,
195408,63.7,
195409,62.4,
195410,54.9,
195411,48.9,
195412,41.6,
195501,39,
195502,41,
195503,44.1,
195504,45,
195505,53,
195506,58.9,
195507,63.2,
195508,64.5,
195509,62.1,
195510,55.3,
195511,45.3,
195512,44.5,
195601,43.2,
195602,39.7,
195603,44.8,
195604,49.7,
195605,55.5,
195606,59.1,
195607,66.4,
195608,65.1,
195609,63.3,
195610,54.2,
195611,45.8,
195612,40.5,
195701,37.4,
195702,45,
195703,46.1,
195704,50,
195705,56.1,
195706,61.8,
195707,65.2,
195708,65.1,
195709,65.7,
195710,55.6,
195711,46.2,
195712,43.6,
195801,44.1,
195802,48.3,
195803,44,
195804,49.8,
195805,58.3,
195806,62.7,
195807,68.7,
195808,68.5,
195809,64.9,
195810,58,
195811,48.9,
195812,47,
195901,43.7,
195902,42.5,
195903,47.3,
195904,52.9,
195905,53.6,
195906,60.6,
195907,68.3,
195908,66.2,
195909,63.1,
195910,57.4,
195911,46.5,
195912,40.7,
196001,41.7,
196002,44.1,
196003,48.3,
196004,49.4,
196005,53.1,
196006,63.2,
196007,67,
196008,64.8,
196009,62.7,
196010,55.8,
196011,46.5,
196012,43.3,
196101,44.1,
196102,46,
196103,45.3,
196104,50.1,
196105,53.3,
196106,62.7,
196107,66.4,
196108,67.6,
196109,61.6,
196110,54.8,
196111,45,
196112,41.6,
196201,39.6,
196202,43.3,
196203,44.4,
196204,51.7,
196205,53,
196206,59.3,
196207,64.9,
196208,65.4,
196209,63.8,
196210,55.2,
196211,48.5,
196212,44.6,
196301,39.1,
196302,51,
196303,45.2,
196304,46.4,
196305,55.3,
196306,59.4,
196307,64.1,
196308,64.9,
196309,65.7,
196310,56.8,
196311,47.4,
196312,43.7,
196401,40.7,
196402,43.2,
196403,43.4,
196404,48.1,
196405,52.2,
196406,58.7,
196407,65.7,
196408,65.8,
196409,62.1,
196410,57.9,
196411,45.1,
196412,43.9,
196501,42.2,
196502,43.6,
196503,47.5,
196504,49.8,
196505,52.8,
196506,58.2,
196507,65.2,
196508,66.3,
196509,61.1,
196510,58,
196511,49.4,
196512,40.3,
196601,41.3,
196602,42,
196603,45.6,
196604,53,
196605,56.6,
196606,59.4,
196607,64.1,
196608,66.7,
196609,64.4,
196610,55.6,
196611,48.5,
196612,44,
196701,41.9,
196702,44.3,
196703,43.5,
196704,43.2,
196705,55.1,
196706,60.7,
196707,66.6,
196708,68.7,
196709,66.4,
196710,56.8,
196711,50,
196712,38.8,
196801,40.2,
196802,49,
196803,47.8,
196804,49.4,
196805,53.7,
196806,60.8,
196807,66.4,
196808,65.2,
196809,63.8,
196810,55,
196811,47.5,
196812,40.2,
196901,38.9,
196902,40.5,
196903,45.4,
196904,48.4,
196905,57.3,
196906,60.9,
196907,65.7,
196908,64.8,
196909,64.4,
196910,53.8,
196911,47.7,
196912,44.8,
197001,45,
197002,47,
197003,47,
197004,45.7,
197005,55,
197006,61,
197007,66.4,
197008,65,
197009,61.7,
197010,53.9,
197011,49,
197012,41,
197101,40.7,
197102,42.6,
197103,43.5,
197104,46.7,
197105,52.8,
197106,57.9,
197107,65.3,
197108,67.5,
197109,62.4,
197110,51.7,
197111,45.4,
197112,38.5,
197201,39.2,
197202,44.2,
197203,49.2,
197204,47.7,
197205,54.9,
197206,60.6,
197207,67.1,
197208,67.1,
197209,61.3,
197210,55.4,
197211,46.8,
197212,38.2,
197301,40.6,
197302,45.6,
197303,44.2,
197304,50.4,
197305,56.7,
197306,61.3,
197307,65.6,
197308,65,
197309,63.7,
197310,53.6,
197311,46.1,
197312,45.5,
197401,41.1,
197402,41.9,
197403,46.5,
197404,48.2,
197405,53.2,
197406,60.7,
197407,65.7,
197408,66.9,
197409,65.3,
197410,56.1,
197411,47.1,
197412,43,
197501,40.9,
197502,42.1,
197503,43.6,
197504,44.8,
197505,55,
197506,59.9,
197507,65,
197508,64.5,
197509,64,
197510,53.8,
197511,44.5,
197512,43.4,
197601,41.7,
197602,42.8,
197603,43.7,
197604,46.5,
197605,54.6,
197606,58.2,
197607,65.9,
197608,64.5,
197609,63.5,
197610,56.6,
197611,50.2,
197612,40.8,
197701,40.8,
197702,46.8,
197703,43.2,
197704,50.1,
197705,50.4,
197706,61.5,
197707,64.8,
197708,67.5,
197709,62.2,
197710,55.3,
197711,46.3,
197712,45.4,
197801,46,
197802,46.3,
197803,51.1,
197804,48.7,
197805,54.5,
197806,61.1,
197807,66.2,
197808,66.3,
197809,61.1,
197810,58.6,
197811,44.2,
197812,38.6,
197901,40.5,
197902,43,
197903,47.9,
197904,49.4,
197905,56,
197906,60.3,
197907,66.6,
197908,65.3,
197909,66.7,
197910,57.7,
197911,46.6,
197912,44.1,
198001,42.8,
198002,47.8,
198003,45.2,
198004,50.4,
198005,53.3,
198006,58.2,
198007,66.7,
198008,64.8,
198009,63.7,
198010,56.8,
198011,47.5,
198012,44.8,
198101,46.2,
198102,46,
198103,46.8,
198104,50.2,
198105,54.5,
198106,61.3,
198107,65.3,
198108,66.3,
198109,63.7,
198110,53.6,
198111,49.1,
198112,46.3,
198201,38.7,
198202,44.2,
198203,44.2,
198204,47.3,
198205,54.6,
198206,60.1,
198207,64.5,
198208,66,
198209,62.4,
198210,55.5,
198211,45.6,
198212,42.4,
198301,43.6,
198302,46.2,
198303,47.2,
198304,47.5,
198305,55.2,
198306,60,
198307,64.6,
198308,67.1,
198309,64.5,
198310,57.4,
198311,47.1,
198312,44.2,
198401,44,
198402,44.3,
198403,49.1,
198404,47.6,
198405,54.9,
198406,58.8,
198407,67.2,
198408,67,
198409,63.7,
198410,53.6,
198411,45.3,
198412,40.6,
198501,42.2,
198502,44.2,
198503,43.5,
198504,51.8,
198505,54.6,
198506,63,
198507,68.2,
198508,65.6,
198509,61.1,
198510,55.5,
198511,42.8,
198512,42.2,
198601,47.2,
198602,47.6,
198603,50.6,
198604,49.9,
198605,54.5,
198606,63.2,
198607,65.2,
198608,67.9,
198609,60.3,
198610,56.8,
198611,48.6,
198612,44.4,
198701,42.5,
198702,45.7,
198703,47.2,
198704,53,
198705,57.6,
198706,62.3,
198707,64.1,
198708,67.1,
198709,62.2,
198710,59.6,
198711,48.5,
198712,42.3,
198801,42.8,
198802,46,
198803,47.7,
198804,50.8,
198805,54,
198806,59.2,
198807,67.8,
198808,66.6,
198809,63.6,
198810,59.4,
198811,47.8,
198812,41.7,
198901,40.8,
198902,39.8,
198903,46.7,
198904,53.6,
198905,55,
198906,61.2,
198907,64.1,
198908,65.8,
198909,62.7,
198910,54.9,
198911,48.2,
198912,43.4,
199001,42.3,
199002,40.5,
199003,48.2,
199004,53.3,
199005,53.4,
199006,60.5,
199007,68.8,
199008,67.1,
199009,65.8,
199010,55.7,
199011,45.4,
199012,36.3,
199101,42,
199102,49,
199103,43.6,
199104,48.3,
199105,52.1,
199106,57.4,
199107,67.5,
199108,66.3,
199109,66.9,
199110,59.2,
199111,48.2,
199112,42.1,
199201,43.8,
199202,47.9,
199203,50.9,
199204,53.7,
199205,59.9,
199206,62.6,
199207,67.6,
199208,67.3,
199209,63.7,
199210,58.3,
199211,47.1,
199212,40.4,
199301,40.7,
199302,43.5,
199303,50,
199304,49.8,
199305,55.9,
199306,59.8,
199307,63.9,
199308,65.9,
199309,62.8,
199310,57.6,
199311,45,
199312,42.3,
199401,44.5,
199402,42.9,
199403,48.7,
199404,51.4,
199405,55.7,
199406,59.6,
199407,66.7,
199408,66,
199409,65.3,
199410,55,
199411,41,
199412,41.2,
199501,46.3,
199502,49.4,
199503,47,
199504,49.1,
199505,55.1,
199506,59.7,
199507,67.2,
199508,65.5,
199509,65.6,
199510,56.8,
199511,51.3,
199512,46.8,
199601,44.6,
199602,48,
199603,48.6,
199604,51.6,
199605,54.8,
199606,60.1,
199607,68.6,
199608,67.1,
199609,62.5,
199610,55.7,
199611,48.6,
199612,45.2,
199701,43.9,
199702,44.9,
199703,48,
199704,50.4,
199705,59.7,
199706,60.4,
199707,66.8,
199708,67.4,
199709,65.5,
199710,55.2,
199711,49.7,
199712,42.5,
199801,46.1,
199802,44,
199803,47.2,
199804,49,
199805,52.3,
199806,60.4,
199807,67,
199808,68.1,
199809,65.3,
199810,54.6,
199811,46.8,
199812,39.6,
199901,42.8,
199902,41.7,
199903,43.9,
199904,48.7,
199905,53,
199906,59.1,
199907,64.7,
199908,66.5,
199909,63.7,
199910,56.8,
199911,50.6,
199912,42.7,
200001,43.7,
200002,46.5,
200003,46.9,
200004,52.7,
200005,55.4,
200006,63.1,
200007,65.4,
200008,66.6,
200009,64.7,
200010,55.7,
200011,45.2,
200012,44.4,
200101,42.8,
200102,43.2,
200103,49.7,
200104,48.2,
200105,59.7,
200106,60.2,
200107,66.1,
200108,66.8,
200109,64,
200110,57.7,
200111,48.3,
200112,44.2,
200201,42.4,
200202,46.7,
200203,45.6,
200204,51.6,
200205,54.5,
200206,61.3,
200207,68.3,
200208,67,
200209,65.3,
200210,55.7,
200211,49.6,
200212,45.1,
200301,49.3,
200302,45.1,
200303,49.1,
200304,47.3,
200305,55,
200306,63.2,
200307,68.7,
200308,68.3,
200309,66.3,
200310,59.4,
200311,45.8,
200312,44,
200401,44.2,
200402,45.1,
200403,51.8,
200404,53.2,
200405,57.1,
200406,62.5,
200407,68.9,
200408,69.4,
200409,64,
200410,56.3,
200411,46.9,
200412,44.2,
200501,43.3,
200502,46.9,
200503,50,
200504,49.9,
200505,56.8,
200506,59.6,
200507,68.5,
200508,67.4,
200509,62,
200510,55.6,
200511,46.8,
200512,45.1,
200601,44.5,
200602,45.1,
200603,43.6,
200604,50,
200605,56.7,
200606,63.6,
200607,68.8,
200608,65.8,
200609,63.1,
200610,55.5,
200611,48.3,
200612,43.7,
200701,40.1,
200702,44.2,
200703,49.7,
200704,50.8,
200705,56.3,
200706,60.4,
200707,68.4,
200708,67.4,
200709,62.9,
200710,54.3,
200711,48.8,
200712,40.6,
200801,40.4,
200802,43.5,
200803,45.4,
200804,48,
200805,56.2,
200806,60.1,
200807,66.3,
200808,67.1,
200809,65.6,
200810,56.1,
200811,50.6,
200812,40.8,
200901,44.7,
200902,43.9,
200903,45.9,
200904,49.8,
200905,57.5,
200906,62,
200907,68.2,
200908,67.6,
200909,66.4,
200910,55.3,
200911,46.9,
200912,41.5,
201001,46.9,
201002,47,
201003,46.7,
201004,47.8,
201005,51.7,
201006,60,
201007,66.8,
201008,66.2,
201009,64.4,
201010,57,
201011,46,
201012,44.8,
201101,45.4,
201102,42.3,
201103,45.9,
201104,47.5,
201105,52.6,
201106,59.9,
201107,65.8,
201108,66.7,
201109,65.6,
201110,57.2,
201111,46.3,
201112,41,
201201,43.4,
201202,44.6,
201203,44.7,
201204,50.6,
201205,55.2,
201206,59.3,
201207,65.7,
201208,69.4,
201209,66.3,
201210,57.9,
201211,50,
201212,41.6,
201301,41.2,
201302,43.4,
201303,48.4,
201304,52.2,
201305,57.2,
201306,63,
201307,69.4,
201308,68,
201309,64.3,
201310,54.1,
201311,48.4,
201312,40.2,
201401,45.7,
201402,46.6,
201403,50.1,
201404,53,
201405,58.6,
201406,62.8,
201407,70,
201408,68.8,
201409,66.9,
201410,59.8,
201411,50.9,
201412,47.5,
201501,47.8,
201502,50.2,
201503,52.2,
201504,51.5,
201505,56.8,
201506,66,
201507,70,
201508,68.2,
201509,63.8,
201510,61.4,
201511,46.4,
201512,43.2,
201601,46.4,
201602,49,
201603,49.5,
201604,55.3,
201605,58.4,
201606,63.6,
201607,67.4,
201608,68.4,
201609,64.2,
201610,56,
201611,50.7,
201612,40.7,
201701,40.8,
201702,45.2,
201703,49,
201704,49.9,
201705,57,
201706,62.7,
201707,68.2,
201708,70.8,
201709,65.5,
201710,56.4,
201711,48.3,
201712,43.9,
201801,45.7,
201802,43.4,
201803,46.1,
201804,50.9,
201805,57.1,
201806,61.6,
201807,70.9,
201808,68.1,
201809,63.2,
201810,57.2,
201811,50,
201812,43.9,
201901,45.8,
