Teton County, Wyoming, Average Temperature
190712,15,-0.3
190801,12.6,-1.4
190802,17.3,-0.5
190803,22.2,-0.7
190804,35.3,2.9
190805,39.3,-2.4
190806,44.8,-4.5
190807,57.1,0.1
190808,52.8,-2.6
190809,47.7,0.8
190810,33.7,-3
190811,24.8,1.3
190812,13.8,-1.5
190901,17.7,3.7
190902,17.1,-0.7
190903,22.3,-0.6
190904,26,-6.4
190905,37.1,-4.6
190906,50.4,1.1
190907,56,-1
190908,57.2,1.8
190909,46.8,-0.1
190910,36.2,-0.5
190911,26.4,2.9
190912,6.8,-8.5
191001,11,-3
191002,12.3,-5.5
191003,32,9.1
191004,37.9,5.5
191005,42,0.3
191006,51.3,2
191007,58.4,1.4
191008,52.9,-2.5
191009,48.4,1.5
191010,38.5,1.8
191011,27,3.5
191012,16.2,0.9
191101,15.4,1.4
191102,8.8,-9
191103,24.7,1.8
191104,30.8,-1.6
191105,40.7,-1
191106,51.3,2
191107,54.7,-2.3
191108,53.2,-2.2
191109,45.7,-1.2
191110,32.4,-4.3
191111,18.1,-5.4
191112,10.4,-4.9
191201,16.3,2.3
191202,16.6,-1.2
191203,19.2,-3.7
191204,29.6,-2.8
191205,38.7,-3
191206,49.9,0.6
191207,53.7,-3.3
191208,51.9,-3.5
191209,40.4,-6.5
191210,33.3,-3.4
191211,26.1,2.6
191212,12.5,-2.8
191301,10.5,-3.5
191302,9.5,-8.3
191303,19.5,-3.4
191304,34,1.6
191305,42.7,1
191306,49.8,0.5
191307,53.6,-3.4
191308,56.2,0.8
191309,47,0.1
191310,32.6,-4.1
191311,25.6,2.1
191312,12.1,-3.2
191401,18.8,4.8
191402,16.2,-1.6
191403,23.4,0.5
191404,34.7,2.3
191405,43.8,2.1
191406,48.2,-1.1
191407,56.5,-0.5
191408,54.2,-1.2
191409,45.4,-1.5
191410,38.4,1.7
191411,27.8,4.3
191412,10.7,-4.6
191501,13.7,-0.3
191502,22.3,4.5
191503,27,4.1
191504,41.3,8.9
191505,40.3,-1.4
191506,45.3,-4
191507,53.3,-3.7
191508,56,0.6
191509,45.4,-1.5
191510,39.4,2.7
191511,24.7,1.2
191512,15,-0.3
191601,9.8,-4.2
191602,20.6,2.8
191603,28,5.1
191604,34.1,1.7
191605,36.7,-5
191606,46.2,-3.1
191607,56.9,-0.1
191608,53.4,-2
191609,45.7,-1.2
191610,32.9,-3.8
191611,17.4,-6.1
191612,8.3,-7
191701,6.5,-7.5
191702,15,-2.8
191703,12.3,-10.6
191704,26.3,-6.1
191705,38.9,-2.8
191706,46.3,-3
191707,59.2,2.2
191708,53.8,-1.6
191709,48.7,1.8
191710,35.5,-1.2
191711,30,6.5
191712,26,10.7
191801,14.9,0.9
191802,14.6,-3.2
191803,24.6,1.7
191804,29.5,-2.9
191805,40.6,-1.1
191806,55.6,6.3
191807,56,-1
191808,52.6,-2.8
191809,48.9,2
191810,40.3,3.6
191811,22.6,-0.9
191812,17,1.7
191901,14.8,0.8
191902,17.8,0
191903,23.8,0.9
191904,34.9,2.5
191905,44.8,3.1
191906,53.8,4.5
191907,59.1,2.1
191908,56.6,1.2
191909,48.6,1.7
191910,29.5,-7.2
191911,18.1,-5.4
191912,10.3,-5
192001,16.6,2.6
192002,17.3,-0.5
192003,21,-1.9
192004,28.6,-3.8
192005,40,-1.7
192006,47.5,-1.8
192007,57.4,0.4
192008,55.3,-0.1
192009,46.6,-0.3
192010,34.5,-2.2
192011,22.5,-1
192012,15.8,0.5
192101,16,2
192102,18.1,0.3
192103,26.3,3.4
192104,30.2,-2.2
192105,43.2,1.5
192106,53.1,3.8
192107,57.7,0.7
192108,55.5,0.1
192109,43.9,-3
192110,40.3,3.6
192111,28.4,4.9
192112,18.3,3
192201,6.9,-7.1
192202,12.6,-5.2
192203,19.6,-3.3
192204,27.5,-4.9
192205,41.1,-0.6
192206,52.2,2.9
192207,55.7,-1.3
192208,58.1,2.7
192209,49.1,2.2
192210,38.9,2.2
192211,21,-2.5
192212,16,0.7
192301,18.2,4.2
192302,9.9,-7.9
192303,15.6,-7.3
192304,30.8,-1.6
192305,41.9,0.2
192306,47.8,-1.5
192307,59.6,2.6
192308,54.1,-1.3
192309,48.8,1.9
192310,33.6,-3.1
192311,25.8,2.3
192312,11.4,-3.9
192401,9.2,-4.8
192402,21.6,3.8
192403,17.6,-5.3
192404,31.7,-0.7
192405,43,1.3
192406,49.4,0.1
192407,56,-1
192408,54.4,-1
192409,46,-0.9
192410,35.4,-1.3
192411,22.3,-1.2
192412,10.5,-4.8
192501,16.2,2.2
192502,21.9,4.1
192503,25.7,2.8
192504,35.1,2.7
192505,44.3,2.6
192506,47.7,-1.6
192507,56.6,-0.4
192508,52.5,-2.9
192509,46.7,-0.2
192510,33.5,-3.2
192511,22.7,-0.8
192512,20.5,5.2
192601,11.4,-2.6
192602,22.6,4.8
192603,23.3,0.4
192604,38.2,5.8
192605,44.8,3.1
192606,52.2,2.9
192607,58.4,1.4
192608,55.5,0.1
192609,42.3,-4.6
192610,38,1.3
192611,29.2,5.7
192612,15.1,-0.2
192701,15.6,1.6
192702,17.6,-0.2
192703,21,-1.9
192704,30.9,-1.5
192705,39.8,-1.9
192706,51,1.7
192707,57.3,0.3
192708,52.6,-2.8
192709,46.3,-0.6
192710,37.9,1.2
192711,29.4,5.9
192712,9,-6.3
192801,18.6,4.6
192802,15,-2.8
192803,22.8,-0.1
192804,28.1,-4.3
192805,45.2,3.5
192806,45.8,-3.5
192807,56.6,-0.4
192808,52.7,-2.7
192809,47.8,0.9
192810,36.9,0.2
192811,24.3,0.8
192812,11.2,-4.1
192901,8.5,-5.5
192902,10,-7.8
192903,22,-0.9
192904,28.9,-3.5
192905,38.5,-3.2
192906,48.3,-1
192907,57.7,0.7
192908,58.6,3.2
192909,43.5,-3.4
192910,37.8,1.1
192911,19.7,-3.8
192912,21.6,6.3
193001,1.6,-12.4
193002,25.8,8
193003,23.2,0.3
193004,38.4,6
193005,41.4,-0.3
193006,48.8,-0.5
193007,58.6,1.6
193008,56.9,1.5
193009,47,0.1
193010,34.9,-1.8
193011,21.1,-2.4
193012,10.8,-4.5
193101,15.8,1.8
193102,19.6,1.8
193103,22.8,-0.1
193104,33,0.6
193105,41.5,-0.2
193106,53.3,4
193107,59.4,2.4
193108,56.1,0.7
193109,47,0.1
193110,37.2,0.5
193111,20.7,-2.8
193112,13.4,-1.9
193201,8.5,-5.5
193202,16.5,-1.3
193203,18.9,-4
193204,31.4,-1
193205,41.8,0.1
193206,49.2,-0.1
193207,56.7,-0.3
193208,54.5,-0.9
193209,47.1,0.2
193210,33.2,-3.5
193211,25.6,2.1
193212,6.2,-9.1
193301,17.1,3.1
193302,7.5,-10.3
193303,21.6,-1.3
193304,29.7,-2.7
193305,38.3,-3.4
193306,53.8,4.5
193307,59.6,2.6
193308,54.6,-0.8
193309,47.5,0.6
193310,40.9,4.2
193311,28.3,4.8
193312,25.4,10.1
193401,19.7,5.7
193402,26.9,9.1
193403,32.4,9.5
193404,39.8,7.4
193405,49.1,7.4
193406,49.1,-0.2
193407,58.9,1.9
193408,57.7,2.3
193409,44.4,-2.5
193410,40.9,4.2
193411,28.8,5.3
193412,17.9,2.6
193501,17.9,3.9
193502,17.6,-0.2
193503,21.7,-1.2
193504,30.9,-1.5
193505,39.2,-2.5
193506,49.8,0.5
193507,58.1,1.1
193508,55.6,0.2
193509,49.6,2.7
193510,36.2,-0.5
193511,19.1,-4.4
193512,13.9,-1.4
193601,12.2,-1.8
193602,15.9,-1.9
193603,18.7,-4.2
193604,32.4,0
193605,45.6,3.9
193606,53.4,4.1
193607,62,5
193608,57,1.6
193609,46.6,-0.3
193610,37.3,0.6
193611,22.5,-1
193612,17.5,2.2
193701,1.8,-12.2
193702,14.8,-3
193703,21.9,-1
193704,29,-3.4
193705,44.2,2.5
193706,49.3,0
193707,58.7,1.7
193708,56.8,1.4
193709,49.8,2.9
193710,39.5,2.8
193711,25.9,2.4
193712,18.6,3.3
193801,15,1
193802,20.3,2.5
193803,23.3,0.4
193804,31.7,-0.7
193805,40.4,-1.3
193806,51.3,2
193807,56.3,-0.7
193808,54.7,-0.7
193809,51.6,4.7
193810,39.7,3
193811,15.2,-8.3
193812,17.1,1.8
193901,15.8,1.8
193902,10.2,-7.6
193903,24.8,1.9
193904,36.5,4.1
193905,45,3.3
193906,47,-2.3
193907,57.7,0.7
193908,55.3,-0.1
193909,49.2,2.3
193910,37.1,0.4
193911,28,4.5
193912,23.6,8.3
194001,15.8,1.8
194002,21.9,4.1
194003,26.5,3.6
194004,34.9,2.5
194005,45.6,3.9
194006,52.7,3.4
194007,58.1,1.1
194008,57.5,2.1
194009,49.7,2.8
194010,39.2,2.5
194011,19.2,-4.3
194012,18.7,3.4
194101,14.7,0.7
194102,18.9,1.1
194103,25.8,2.9
194104,33.3,0.9
194105,44.1,2.4
194106,49.8,0.5
194107,57.4,0.4
194108,55.7,0.3
194109,43.1,-3.8
194110,36.6,-0.1
194111,24.6,1.1
194112,19.9,4.6
194201,10.9,-3.1
194202,10.2,-7.6
194203,17.7,-5.2
194204,34.9,2.5
194205,38.4,-3.3
194206,47,-2.3
194207,57.2,0.2
194208,55.9,0.5
194209,47.8,0.9
194210,37,0.3
194211,22.6,-0.9
194212,17.1,1.8
194301,12.7,-1.3
194302,15.5,-2.3
194303,17.2,-5.7
194304,38.7,6.3
194305,38.8,-2.9
194306,46.8,-2.5
194307,56.6,-0.4
194308,55.4,0
194309,49.4,2.5
194310,39.1,2.4
194311,26,2.5
194312,17,1.7
194401,10.6,-3.4
194402,17.9,0.1
194403,19.1,-3.8
194404,32.2,-0.2
194405,42.9,1.2
194406,46.8,-2.5
194407,55,-2
194408,53.8,-1.6
194409,47,0.1
194410,40.3,3.6
194411,22.3,-1.2
194412,13.5,-1.8
194501,17.1,3.1
194502,19.5,1.7
194503,22.8,-0.1
194504,27.6,-4.8
194505,41.8,0.1
194506,45.1,-4.2
194507,55.5,-1.5
194508,54.9,-0.5
194509,44.4,-2.5
194510,39.2,2.5
194511,23.1,-0.4
194512,13.6,-1.7
194601,11.4,-2.6
194602,16.6,-1.2
194603,25.7,2.8
194604,37,4.6
194605,40.6,-1.1
194606,50.2,0.9
194607,59,2
194608,56.2,0.8
194609,46,-0.9
194610,31.7,-5
194611,23,-0.5
194612,21.1,5.8
194701,10,-4
194702,20.5,2.7
194703,26.2,3.3
194704,31.9,-0.5
194705,44.5,2.8
194706,46.1,-3.2
194707,57.7,0.7
194708,54.6,-0.8
194709,48.5,1.6
194710,40.4,3.7
194711,19.5,-4
194712,15.9,0.6
194801,13.2,-0.8
194802,17.9,0.1
194803,18.1,-4.8
194804,31.9,-0.5
194805,42.2,0.5
194806,51.2,1.9
194807,55.6,-1.4
194808,55.3,-0.1
194809,48.6,1.7
194810,37.9,1.2
194811,19,-4.5
194812,10.4,-4.9
194901,1.5,-12.5
194902,15.1,-2.7
194903,24.7,1.8
194904,35.3,2.9
194905,44.6,2.9
194906,49.3,0
194907,56.5,-0.5
194908,56.4,1
194909,48.3,1.4
194910,33.4,-3.3
194911,31.4,7.9
194912,17,1.7
195001,13.6,-0.4
195002,19.7,1.9
195003,22.1,-0.8
195004,31.4,-1
195005,37.2,-4.5
195006,47.6,-1.7
195007,54.2,-2.8
195008,53.5,-1.9
195009,46.6,-0.3
195010,39.7,3
195011,25.7,2.2
195012,21.7,6.4
195101,12.4,-1.6
195102,20.6,2.8
195103,18.7,-4.2
195104,33.2,0.8
195105,43,1.3
195106,44.5,-4.8
195107,57.1,0.1
195108,54.1,-1.3
195109,46.2,-0.7
195110,34.3,-2.4
195111,20.3,-3.2
195112,12.8,-2.5
195201,13.1,-0.9
195202,13.7,-4.1
195203,17.2,-5.7
195204,33.8,1.4
195205,43.4,1.7
195206,50.3,1
195207,55.2,-1.8
195208,55.5,0.1
195209,50,3.1
195210,39.7,3
195211,17.5,-6
195212,16.6,1.3
195301,27,13
195302,19.3,1.5
195303,24.9,2
195304,28.8,-3.6
195305,38,-3.7
195306,49.2,-0.1
195307,59,2
195308,55.9,0.5
195309,49.2,2.3
195310,39.5,2.8
195311,30,6.5
195312,15.6,0.3
195401,20.1,6.1
195402,23,5.2
195403,20,-2.9
195404,34.3,1.9
195405,44.1,2.4
195406,47.1,-2.2
195407,59.2,2.2
195408,53.8,-1.6
195409,47.6,0.7
195410,35.3,-1.4
195411,29.1,5.6
195412,12.8,-2.5
195501,9.6,-4.4
195502,12.4,-5.4
195503,15.3,-7.6
195504,29.2,-3.2
195505,40.9,-0.8
195506,47.9,-1.4
195507,57.7,0.7
195508,57.7,2.3
195509,47.2,0.3
195510,37.7,1
195511,20.1,-3.4
195512,18.3,3
195601,18.3,4.3
195602,10,-7.8
195603,20.3,-2.6
195604,33.2,0.8
195605,44.7,3
195606,51,1.7
195607,57.2,0.2
195608,53.4,-2
195609,48.3,1.4
195610,36.7,0
195611,17.9,-5.6
195612,15.8,0.5
195701,6.8,-7.2
195702,23.8,6
195703,23.3,0.4
195704,31.6,-0.8
195705,43.1,1.4
195706,49.4,0.1
195707,57.4,0.4
195708,56.4,1
195709,47.6,0.7
195710,37.1,0.4
195711,18.7,-4.8
195712,18.8,3.5
195801,13.7,-0.3
195802,25.5,7.7
195803,21.4,-1.5
195804,30,-2.4
195805,47.9,6.2
195806,51.8,2.5
195807,55,-2
195808,58.2,2.8
195809,47.2,0.3
195810,38.8,2.1
195811,23.3,-0.2
195812,21.5,6.2
195901,17.4,3.4
195902,19.4,1.6
195903,22.2,-0.7
195904,32.8,0.4
195905,38.5,-3.2
195906,52.5,3.2
195907,57.2,0.2
195908,55,-0.4
195909,45.3,-1.6
195910,36.3,-0.4
195911,22.8,-0.7
195912,17.2,1.9
196001,14.1,0.1
196002,12.6,-5.2
196003,24.6,1.7
196004,34.4,2
196005,41.5,-0.2
196006,50.9,1.6
196007,59.3,2.3
196008,53.7,-1.7
196009,49.5,2.6
196010,36.6,-0.1
196011,23.6,0.1
196012,13.3,-2
196101,12.8,-1.2
196102,24.5,6.7
196103,25.7,2.8
196104,31.6,-0.8
196105,43,1.3
196106,54.5,5.2
196107,58.8,1.8
196108,58.4,3
196109,41.4,-5.5
196110,34.2,-2.5
196111,19.6,-3.9
196112,11.3,-4
196201,7.5,-6.5
196202,20.1,2.3
196203,19.9,-3
196204,34.4,2
196205,42.3,0.6
196206,49.8,0.5
196207,55,-2
196208,53.6,-1.8
196209,47.8,0.9
196210,40.9,4.2
196211,28,4.5
196212,20.2,4.9
196301,9.7,-4.3
196302,26.9,9.1
196303,23.5,0.6
196304,31,-1.4
196305,43.4,1.7
196306,48.2,-1.1
196307,56.5,-0.5
196308,56.3,0.9
196309,51.1,4.2
196310,41.9,5.2
196311,25.9,2.4
196312,15,-0.3
196401,11.5,-2.5
196402,10.3,-7.5
196403,16.5,-6.4
196404,31,-1.4
196405,41.1,-0.6
196406,46.9,-2.4
196407,58.4,1.4
196408,52.3,-3.1
196409,45,-1.9
196410,38.1,1.4
196411,23,-0.5
196412,15.7,0.4
196501,18,4
196502,17,-0.8
196503,13.1,-9.8
196504,33.7,1.3
196505,39,-2.7
196506,47.5,-1.8
196507,56,-1
196508,53.6,-1.8
196509,40.1,-6.8
196510,39.5,2.8
196511,28.2,4.7
196512,17.6,2.3
196601,14.5,0.5
196602,14.3,-3.5
196603,22.4,-0.5
196604,30.8,-1.6
196605,44.3,2.6
196606,48.5,-0.8
196607,58.8,1.8
196608,54.7,-0.7
196609,50.4,3.5
196610,34.8,-1.9
196611,26.1,2.6
196612,14.5,-0.8
196701,21.2,7.2
196702,20,2.2
196703,25.7,2.8
196704,29.7,-2.7
196705,40.1,-1.6
196706,47.8,-1.5
196707,57.5,0.5
196708,56.6,1.2
196709,49.8,2.9
196710,37.1,0.4
196711,25.3,1.8
196712,10.2,-5.1
196801,13.1,-0.9
196802,21.6,3.8
196803,26.8,3.9
196804,28.6,-3.8
196805,38.9,-2.8
196806,48.2,-1.1
196807,57.2,0.2
196808,52.2,-3.2
196809,45.4,-1.5
196810,36,-0.7
196811,20.4,-3.1
196812,14.5,-0.8
196901,18.9,4.9
196902,16.8,-1
196903,17.2,-5.7
196904,34.9,2.5
196905,45,3.3
196906,47.5,-1.8
196907,56.5,-0.5
196908,57.8,2.4
196909,49.6,2.7
196910,31.5,-5.2
196911,24.4,0.9
196912,17.2,1.9
197001,18.2,4.2
197002,21,3.2
197003,21.3,-1.6
197004,25.7,-6.7
197005,40.2,-1.5
197006,50.5,1.2
197007,57.3,0.3
197008,57.8,2.4
197009,42.6,-4.3
197010,31,-5.7
197011,24.8,1.3
197012,14.3,-1
197101,18.2,4.2
197102,17.6,-0.2
197103,20.5,-2.4
197104,30.8,-1.6
197105,41.7,0
197106,48.4,-0.9
197107,55.9,-1.1
197108,59.7,4.3
197109,42.6,-4.3
197110,34.2,-2.5
197111,22.2,-1.3
197112,12.1,-3.2
197201,14.8,0.8
197202,19.8,2
197203,28.4,5.5
197204,31.7,-0.7
197205,41.3,-0.4
197206,50.2,0.9
197207,54.6,-2.4
197208,56,0.6
197209,43.7,-3.2
197210,36.1,-0.6
197211,23.4,-0.1
197212,10.2,-5.1
197301,11.4,-2.6
197302,17.2,-0.6
197303,21.7,-1.2
197304,27.9,-4.5
197305,41.1,-0.6
197306,49,-0.3
197307,56.6,-0.4
197308,56,0.6
197309,45.7,-1.2
197310,37.6,0.9
197311,23.5,0
197312,18.1,2.8
197401,14.6,0.6
197402,16.5,-1.3
197403,24.8,1.9
197404,31.9,-0.5
197405,39.2,-2.5
197406,52,2.7
197407,58.8,1.8
197408,53.4,-2
197409,46.4,-0.5
197410,37.8,1.1
197411,24.6,1.1
197412,13.4,-1.9
197501,13.3,-0.7
197502,15.9,-1.9
197503,22.2,-0.7
197504,25.3,-7.1
197505,36.4,-5.3
197506,46.5,-2.8
197507,59.4,2.4
197508,51.9,-3.5
197509,45.9,-1
197510,34.7,-2
197511,18.9,-4.6
197512,20.1,4.8
197601,15.2,1.2
197602,18.1,0.3
197603,16.4,-6.5
197604,31.1,-1.3
197605,42.9,1.2
197606,47.5,-1.8
197607,57.8,0.8
197608,53.2,-2.2
197609,48.1,1.2
197610,34.8,-1.9
197611,25.4,1.9
197612,14.1,-1.2
197701,11.6,-2.4
197702,19.2,1.4
197703,20.1,-2.8
197704,35.6,3.2
197705,40.4,-1.3
197706,54.2,4.9
197707,57,0
197708,53.8,-1.6
197709,46.2,-0.7
197710,37.1,0.4
197711,24,0.5
197712,18.9,3.6
197801,19.2,5.2
197802,19.5,1.7
197803,27.5,4.6
197804,33.8,1.4
197805,39.8,-1.9
197806,49,-0.3
197807,56.9,-0.1
197808,52.9,-2.5
197809,45.8,-1.1
197810,36.9,0.2
197811,21.7,-1.8
197812,5.7,-9.6
197901,3.2,-10.8
197902,19.5,1.7
197903,24.1,1.2
197904,31.1,-1.3
197905,41.4,-0.3
197906,49.6,0.3
197907,57.2,0.2
197908,55.8,0.4
197909,50.1,3.2
197910,38.3,1.6
197911,17.2,-6.3
197912,19.6,4.3
198001,14.1,0.1
198002,23.7,5.9
198003,23.6,0.7
198004,33.3,0.9
198005,42.3,0.6
198006,49,-0.3
198007,57.1,0.1
198008,52.7,-2.7
198009,47.2,0.3
198010,35.7,-1
198011,25.7,2.2
198012,22.2,6.9
198101,20.8,6.8
198102,21.5,3.7
198103,28.3,5.4
198104,35.3,2.9
198105,41,-0.7
198106,48.9,-0.4
198107,56.6,-0.4
198108,57.3,1.9
198109,49.4,2.5
198110,34.2,-2.5
198111,26.8,3.3
198112,18.4,3.1
198201,13.9,-0.1
198202,14.9,-2.9
198203,24.4,1.5
198204,26.6,-5.8
198205,39,-2.7
198206,48,-1.3
198207,55.2,-1.8
198208,57.4,2
198209,46.4,-0.5
198210,33.4,-3.3
198211,19.7,-3.8
198212,15.3,0
198301,19.4,5.4
198302,20.4,2.6
198303,26.6,3.7
198304,28.6,-3.8
198305,38.4,-3.3
198306,47.4,-1.9
198307,55.6,-1.4
198308,58.1,2.7
198309,47,0.1
198310,38.1,1.4
198311,23,-0.5
198312,9.3,-6
198401,12.6,-1.4
198402,15.4,-2.4
198403,24.3,1.4
198404,28.7,-3.7
198405,39.7,-2
198406,47.2,-2.1
198407,58,1
198408,56.6,1.2
198409,43.7,-3.2
198410,30.3,-6.4
198411,21.5,-2
198412,10,-5.3
198501,9.2,-4.8
198502,9.7,-8.1
198503,19.8,-3.1
198504,34.5,2.1
198505,43.7,2
198506,50.4,1.1
198507,58.8,1.8
198508,52.8,-2.6
198509,41.8,-5.1
198510,34.1,-2.6
198511,17.4,-6.1
198512,11.6,-3.7
198601,17.6,3.6
198602,22,4.2
198603,30.8,7.9
198604,33.2,0.8
198605,39.8,-1.9
198606,53.6,4.3
198607,53.6,-3.4
198608,56.1,0.7
198609,42.2,-4.7
198610,37,0.3
198611,22,-1.5
198612,13.5,-1.8
198701,12.9,-1.1
198702,20.7,2.9
198703,25.4,2.5
198704,38.4,6
198705,45.6,3.9
198706,51.4,2.1
198707,55.2,-1.8
198708,53,-2.4
198709,49.1,2.2
198710,39,2.3
198711,25.1,1.6
198712,13.8,-1.5
198801,11.3,-2.7
198802,18.5,0.7
198803,21.4,-1.5
198804,35.8,3.4
198805,43.6,1.9
198806,56.8,7.5
198807,59.9,2.9
198808,56.9,1.5
198809,46.5,-0.4
198810,43.1,6.4
198811,21.2,-2.3
198812,13,-2.3
198901,12.4,-1.6
198902,12.8,-5
198903,27,4.1
198904,34.3,1.9
198905,41.5,-0.2
198906,49.3,0
198907,60.9,3.9
198908,54.1,-1.3
198909,47.5,0.6
198910,36.6,-0.1
198911,24.5,1
198912,15.1,-0.2
199001,17.4,3.4
199002,15.2,-2.6
199003,26.7,3.8
199004,36.7,4.3
199005,39.6,-2.1
199006,50.1,0.8
199007,57.6,0.6
199008,56.8,1.4
199009,53,6.1
199010,34.4,-2.3
199011,24.8,1.3
199012,5,-10.3
199101,12.5,-1.5
199102,24.9,7.1
199103,24.3,1.4
199104,30.8,-1.6
199105,40.2,-1.5
199106,50.1,0.8
199107,57.7,0.7
199108,58,2.6
199109,47.5,0.6
199110,35.8,-0.9
199111,19.5,-4
199112,13.8,-1.5
199201,15.2,1.2
199202,24.7,6.9
199203,31.8,8.9
199204,37.8,5.4
199205,46.7,5
199206,51,1.7
199207,53.3,-3.7
199208,56.1,0.7
199209,46,-0.9
199210,39.2,2.5
199211,19.1,-4.4
199212,11.8,-3.5
199301,12.5,-1.5
199302,15,-2.8
199303,26.4,3.5
199304,30.9,-1.5
199305,44.1,2.4
199306,46.5,-2.8
199307,49,-8
199308,51.9,-3.5
199309,45.9,-1
199310,36.1,-0.6
199311,17.8,-5.7
199312,15.3,0
199401,19.3,5.3
199402,16.6,-1.2
199403,27,4.1
199404,34.8,2.4
199405,46.2,4.5
199406,51.3,2
199407,57.8,0.8
199408,58.6,3.2
199409,50.3,3.4
199410,35.1,-1.6
199411,16.4,-7.1
199412,17.7,2.4
199501,16.5,2.5
199502,24.1,6.3
199503,24.2,1.3
199504,31,-1.4
199505,39.4,-2.3
199506,47.3,-2
199507,54.9,-2.1
199508,56,0.6
199509,47.8,0.9
199510,33.2,-3.5
199511,27.4,3.9
199512,17.6,2.3
199601,14,0
199602,17.9,0.1
199603,24.6,1.7
199604,31.5,-0.9
199605,39.1,-2.6
199606,51.7,2.4
199607,58.4,1.4
199608,56.4,1
199609,44.5,-2.4
199610,35.9,-0.8
199611,25.2,1.7
199612,17.9,2.6
199701,15.1,1.1
199702,15.5,-2.3
199703,25.2,2.3
199704,29.1,-3.3
199705,42.7,1
199706,51.6,2.3
199707,55.3,-1.7
199708,56.4,1
199709,49.1,2.2
199710,35.4,-1.3
199711,23.8,0.3
199712,13.9,-1.4
199801,19.6,5.6
199802,19.6,1.8
199803,23.7,0.8
199804,32.5,0.1
199805,42,0.3
199806,44.2,-5.1
199807,60.5,3.5
199808,57.7,2.3
199809,51.9,5
199810,36.8,0.1
199811,26.8,3.3
199812,14.6,-0.7
199901,18.7,4.7
199902,18.8,1
199903,24.8,1.9
199904,30,-2.4
199905,38.8,-2.9
199906,47.7,-1.6
199907,56.1,-0.9
199908,56.4,1
